id,first_name,last_name,city,rating,n_orders
1,Наталья,Аксенова,Долгопрудный,5.0,3
2,Тимофей,Рябов,Подольск,4.0,5
3,Глеб,Тетерин,Королев,3.5,2
4,Никита,Пестов,Люберцы,5.0,3
5,Алёна,Крюкова,Люберцы,4.2,5
6,Андрей,Беляков,Долгопрудный,4.5,2
7,Демид,Орехов,Химки,3.6666666666666665,3
8,Арина,Субботина,Химки,5.0,7
9,Диана,Зуева,Долгопрудный,3.6666666666666665,4
10,Наталья,Карпова,Долгопрудный,5.0,4
11,Алексей,Туров,Королев,22.75,5
12,Андрей,Шестаков,Химки,5.0,1
13,Максим,Савельев,Мытищи,5.0,2
14,Виктор,Воробьев,Реутов,24.0,6
15,Мария,Некрасова,Королев,3.8,5
16,Полина,Пономарева,Королев,4.5,2
17,Михаил,Федосеев,Долгопрудный,5.0,4
18,Глеб,Филиппов,Мытищи,3.0,2
19,Артем,Дроздов,Реутов,5.0,4
20,Ярослав,Дьячков,Железнодорожный,3.0,7
21,Яна,Мухина,Подольск,5.0,5
22,Владислав,Гордеев,Подольск,5.0,2
23,Милана,Лебедева,Железнодорожный,16.875,8
24,Елизавета,Абрамова,Химки,4.0,1
25,Роман,Горбачев,Мытищи,4.2,5
26,Вероника,Степанова,Химки,4.333333333333333,6
27,Ева,Игнатьева,Люберцы,5.0,2
28,Валерия,Миронова,Москва,27.75,4
29,Наталья,Веселова,Мытищи,5.0,2
30,Александра,Колесникова,Люберцы,3.6666666666666665,3
31,Ксения,Логинова,Мытищи,24.0,5
32,Анна,Турова,Балашиха,4.5,7
33,Кирилл,Тарасов,Реутов,5.0,5
34,Мария,Зайцева,Москва,5.0,4
35,Маргарита,Фролова,Балашиха,3.75,4
36,Злата,Сафонова,Железнодорожный,3.6666666666666665,3
37,Валерия,Зимина,Химки,4.0,4
38,Владислав,Воронцов,Балашиха,18.571428571428573,7
39,Александр,Корнилов,Королев,5.0,2
40,Злата,Власова,Люберцы,18.571428571428573,7
41,Наталья,Назарова,Балашиха,4.0,2
42,Артем,Кулагин,Реутов,5.0,1
43,Арсений,Никитин,Королев,5.0,4
44,Алексей,Орлов,Долгопрудный,5.0,4
45,Милана,Никонова,Химки,4.2,5
46,Тимофей,Николаев,Люберцы,5.0,3
47,Злата,Игнатьева,Балашиха,5.0,4
48,Елизавета,Ершова,Мытищи,5.0,3
49,Василиса,Субботина,Люберцы,4.666666666666667,6
50,Тимофей,Харитонов,Долгопрудный,5.0,1
51,Анна,Лукина,Мытищи,5.0,2
52,Виктория,Меркушева,Подольск,4.666666666666667,3
53,Лев,Панов,Железнодорожный,4.0,4
54,Иван,Поляков,Подольск,5.0,4
55,Лев,Муравьев,Реутов,3.6666666666666665,3
56,Арсений,Пахомов,Реутов,4.0,6
57,Наталья,Орлова,Реутов,2.3333333333333335,3
58,Анастасия,Одинцова,Люберцы,5.0,1
59,Ульяна,Зимина,Люберцы,5.0,2
60,Наталья,Панова,Химки,4.4,6
61,Ульяна,Сафонова,Железнодорожный,5.0,2
62,Полина,Котова,Мытищи,5.0,5
63,Арина,Котова,Балашиха,5.0,5
64,Виктория,Романова,Мытищи,3.6666666666666665,3
