id,first_name,last_name,auto,rating,city
1,Нурсултан,Жумаев,1494,5.957446808510638,Реутов
2,Шамиль,Абдурахман,1798,6.5523255813953485,Москва
3,Мурад,Абдурахман,850,6.529411764705882,Железнодорожный
4,Рустам,Назаров,940,7.3107569721115535,Долгопрудный
5,Дильшод,Касымов,1439,5.440993788819876,Москва
6,Саид,Юсупов,641,5.913385826771654,Мытищи
7,Сафия,Багаева,1013,6.217898832684825,Химки
8,Магомед,Гаджиев,287,6.028169014084507,Москва
9,Лейла,Шарипова,596,5.907949790794979,Москва
10,Темирлан,Каримов,1600,6.626943005181347,Мытищи
11,Гамид,Караев,247,7.681159420289855,Балашиха
12,Зара,Гаджиева,1305,9.088888888888889,Москва
13,Дильшод,Алимов,345,7.925093632958801,Люберцы
14,Эльнур,Назаров,784,6.379464285714286,Долгопрудный
15,Рустам,Жумаев,1467,5.975757575757576,Москва
16,Фатима,Саидова,414,6.066666666666666,Москва
17,Рамазан,Шарипов,1723,7.744186046511628,Москва
18,Рамазан,Юсупов,891,6.919148936170213,Москва
19,Мурад,Багаев,391,6.148837209302326,Москва
20,Рустам,Саидов,1262,5.547169811320755,Москва
21,Эльнур,Абдуллаев,208,7.643171806167401,Москва
22,Ислам,Абдуллаев,1263,5.215311004784689,Королев
23,Нурсултан,Рахимов,922,8.724832214765101,Мытищи
24,Хасан,Шарипов,1443,7.063157894736842,Москва
25,Михаил,Попов,731,8.8,Химки
26,Дильшод,Назаров,1283,6.598765432098766,Москва
27,Залим,Шарипов,1598,6.260162601626016,Москва
28,Жомарт,Жумаев,741,6.662037037037037,Москва
29,Шахноза,Алимова,768,9.670886075949367,Москва
30,Аслан,Караев,952,6.432,Мытищи
31,Расул,Саидов,377,7.537313432835821,Москва
32,Эльнур,Юсупов,1664,6.325925925925926,Балашиха
33,Рахмат,Жумаев,1560,5.601307189542483,Мытищи
34,Рустам,Мирзаев,461,5.897540983606557,Мытищи
35,Хасан,Гаджиев,1312,5.96652719665272,Химки
36,Залим,Ахмед,41,7.894495412844036,Балашиха
37,Залим,Багаев,193,6.390977443609023,Москва
38,Темирлан,Саидов,1547,6.55241935483871,Королев
39,Мурад,Джабраилов,532,6.1923076923076925,Москва
40,Темирлан,Алимов,10,5.46875,Долгопрудный
41,Амина,Шарипова,705,8.573643410852712,Москва
42,Залим,Ахмед,839,7.078740157480315,Москва
43,Хасан,Магомедов,1505,7.298701298701299,Королев
44,Нурсултан,Мирзаев,147,6.142307692307693,Железнодорожный
45,Олег,Морозов,34,6.88546255506608,Москва
46,Шамиль,Саидов,1289,7.642857142857143,Химки
47,Алишер,Абдуллаев,1765,6.111607142857143,Мытищи
48,Евгений,Кузнецов,11,6.445714285714286,Москва
49,Рустам,Алимов,30,6.178082191780822,Люберцы
50,Жомарт,Юсупов,819,6.658914728682171,Москва
51,Айша,Багаева,1737,7.298245614035087,Москва
52,Залим,Алиев,1474,6.0,Химки
53,Дмитрий,Козлов,986,6.0311111111111115,Химки
54,Эльнур,Алимов,1610,6.346153846153846,Королев
55,Ислам,Юсупов,309,6.461187214611872,Москва
56,Евгений,Сидоров,559,5.273127753303965,Балашиха
57,Темирлан,Турдиев,48,6.086956521739131,Люберцы
58,Ислам,Гаджиев,1107,5.522633744855967,Балашиха
59,Владимир,Козлов,1615,6.51004016064257,Москва
60,Владимир,Иванов,1497,7.175097276264592,Балашиха
61,Жомарт,Алимов,138,6.338709677419355,Железнодорожный
62,Эльнур,Алимов,1546,6.577092511013216,Москва
63,Бауржан,Саидов,406,6.736170212765957,Балашиха
64,Хасан,Саидов,1626,5.975206611570248,Москва
65,Алишер,Абдуллаев,1228,7.382978723404255,Москва
66,Николай,Козлов,1483,6.6455696202531644,Москва
67,Евгений,Сидоров,1805,6.628318584070796,Подольск
68,Иван,Попов,893,7.4520547945205475,Москва
69,Рахмат,Касымов,37,7.163522012578617,Москва
70,Юлия,Лебедева,1579,7.142857142857143,Балашиха
71,Рамазан,Исаев,1775,7.888888888888889,Королев
72,Рамазан,Саидов,1490,4.792857142857143,Москва
73,Магомед,Багаев,620,6.8,Москва
74,Рахмат,Абдрахманов,312,7.278008298755187,Люберцы
75,Дильшод,Турдиев,869,6.969924812030075,Железнодорожный
76,Гамид,Абдуллаев,112,6.71806167400881,Долгопрудный
77,Магомед,Юсупов,443,5.452755905511811,Железнодорожный
78,Залим,Магомедов,252,8.32934131736527,Москва
79,Нурсултан,Назаров,485,5.410810810810811,Москва
80,Магомед,Караев,823,6.743494423791821,Химки
81,Дильшод,Каримов,1756,5.875,Москва
82,Михаил,Попов,939,5.5177304964539005,Москва
83,Диля,Юсупова,967,7.8884297520661155,Королев
84,Евгений,Иванов,1711,6.477678571428571,Москва
85,Магомед,Саидов,20,6.204225352112676,Подольск
86,Рамазан,Багаев,148,5.192468619246862,Реутов
87,Эльнур,Жумаев,867,5.177777777777778,Железнодорожный
88,Сергей,Лебедев,330,6.943127962085308,Королев
89,Темирлан,Махмудов,504,5.5,Москва
90,Елена,Козлова,390,7.037878787878788,Химки
